Date,P/E,SMA_5_Years,sma_7_5_years,sma_10_years
2020-10-07,34.12,25.161166666666666,23.40289417989418,22.492742063492063
2020-10-08,34.4,25.17134920634921,23.411396825396825,22.497309523809523
2020-10-09,34.71,25.18192857142857,23.42009523809524,22.50206746031746
2020-10-12,34.76,25.192309523809524,23.428851851851856,22.50684920634921
2020-10-13,34.77,25.203071428571427,23.43758201058201,22.5115753968254
2020-10-14,34.87,25.214119047619047,23.446232804232807,22.516380952380953
2020-10-15,34.03,25.224214285714286,23.454391534391537,22.520857142857142
2020-10-16,34.13,25.234103174603174,23.462756613756614,22.525265873015876
2020-10-19,34.43,25.244293650793647,23.47130158730159,22.529690476190478
2020-10-20,34.28,25.25436507936508,23.479761904761904,22.53407142857143
2020-10-21,34.4,25.264349206349205,23.488439153439153,22.53848015873016
2020-10-22,34.27,25.274325396825397,23.497058201058202,22.542900793650794
2020-10-23,34.37,25.284230158730157,23.50589947089947,22.547420634920634
2020-10-26,33.95,25.293619047619046,23.51447619047619,22.55174603174603
2020-10-27,34.49,25.303444444444445,23.523375661375663,22.55640079365079
2020-10-28,33.94,25.313198412698412,23.53184126984127,22.560829365079364
2020-10-29,31.56,25.32098412698413,23.53898941798942,22.56433333333333
2020-10-30,31.9,25.328992063492063,23.546243386243386,22.567857142857143
2020-11-02,31.43,25.336650793650794,23.5531164021164,22.571170634920634
2020-11-03,31.82,25.344515873015872,23.560232804232808,22.574650793650793
2020-11-04,32.27,25.3525,23.567634920634923,22.578146825396825
2020-11-05,32.84,25.360936507936508,23.575439153439156,22.58182142857143
2020-11-06,33.09,25.369198412698413,23.58328571428571,22.58559126984127
2020-11-09,33.62,25.377801587301587,23.591470899470902,22.589515873015873
2020-11-10,34.18,25.386801587301587,23.600010582010583,22.593428571428568
2020-11-11,34.5,25.39615873015873,23.608867724867725,22.59740873015873
2020-11-12,34.48,25.40536507936508,23.61779894179894,22.60127380952381
2020-11-13,34.57,25.414761904761907,23.62683597883598,22.60522619047619
2020-11-14,34.73,25.424666666666667,23.635968253968255,22.609150793650794
2020-11-17,34.93,25.43480158730159,23.645238095238096,22.61299206349206
2020-11-18,35.59,25.445309523809524,23.654841269841267,22.617047619047618
2020-11-19,35.12,25.45531746031746,23.664126984126984,22.62094841269841
2020-11-20,35.36,25.46543650793651,23.67357142857143,22.62499603174603
2020-11-23,35.55,25.475785714285717,23.683047619047617,22.62901984126984
2020-11-24,35.9,25.48643650793651,23.692830687830686,22.633154761904763
2020-11-25,35.36,25.496603174603173,23.702486772486772,22.6370873015873
2020-11-26,35.71,25.507126984126987,23.712365079365078,22.641222222222225
2020-11-27,35.66,25.51765873015873,23.722232804232807,22.64526984126984
2020-12-01,36.05,25.528650793650794,23.732386243386244,22.649440476190478
2020-12-02,36.06,25.539658730158727,23.742439153439154,22.6535873015873
2020-12-03,36.12,25.55081746031746,23.752465608465606,22.657781746031745
2020-12-04,36.46,25.56230952380952,23.762783068783072,22.66204365079365
2020-12-07,36.73,25.57398412698413,23.773179894179894,22.666523809523813
2020-12-08,36.83,25.585857142857144,23.783433862433863,22.671071428571427
2020-12-09,37.2,25.598253968253967,23.793957671957674,22.675710317460318
2020-12-10,37.06,25.61054761904762,23.80425396825397,22.68036904761905
2020-12-11,37.16,25.623047619047618,23.81451851851852,22.684833333333337
2020-12-14,37.28,25.63592857142857,23.82484656084656,22.68943650793651
2020-12-15,37.31,25.648738095238095,23.835063492063494,22.694242063492062
2020-12-16,37.63,25.661960317460316,23.845592592592592,22.69922619047619
2020-12-17,37.79,25.675198412698414,23.856179894179895,22.704353174603174
2020-12-18,37.84,25.688412698412698,23.866756613756614,22.70957142857143
2020-12-21,36.65,25.700912698412697,23.87659788359788,22.714123015873017
2020-12-22,37.03,25.71347619047619,23.886724867724865,22.71888492063492
2020-12-23,37.4,25.726301587301588,23.89700529100529,22.723726190476192
2020-12-24,37.81,25.739468253968255,23.90738624338624,22.72881746031746
2020-12-28,38.15,25.752944444444445,23.917941798941797,22.734158730158732
2020-12-29,38.31,25.766436507936508,23.928629629629626,22.739603174603175
2020-12-30,38.45,25.7799126984127,23.939333333333334,22.745055555555556
2020-12-31,38.45,25.793404761904764,23.95001587301587,22.75034523809524
2021-01-01,38.55,25.80692857142857,23.961000000000002,22.755670634920634
2021-01-04,38.87,25.820761904761905,23.972105820105824,22.761055555555554
2021-01-05,39.05,25.834880952380953,23.983068783068784,22.766444444444446
2021-01-06,38.9,25.849055555555555,23.99395238095238,22.77172619047619
2021-01-07,38.88,25.863253968253968,24.004798941798942,22.777063492063494
2021-01-08,39.45,25.878039682539683,24.01595238095238,22.782579365079364
2021-01-11,39.72,25.89323015873016,24.027317460317462,22.78824603174603
2021-01-12,39.94,25.908444444444445,24.03884656084656,22.794130952380954
2021-01-13,39.94,25.923817460317462,24.05057671957672,22.800210317460316
2021-01-14,40.03,25.939166666666665,24.062296296296296,22.806416666666667
2021-01-15,39.34,25.95386507936508,24.073486772486778,22.812559523809526
2021-01-18,38.92,25.968119047619044,24.084423280423284,22.81851984126984
2021-01-19,39.22,25.9824126984127,24.095486772486773,22.82476984126984
2021-01-20,39.55,25.997142857142855,24.106693121693123,22.830948412698415
2021-01-21,39.41,26.011603174603177,24.11804761904762,22.837186507936508
2021-01-22,38.86,26.02573015873016,24.129185185185186,22.843317460317458
2021-01-25,38.42,26.03934126984127,24.140121693121696,22.849376984126984
2021-01-27,37.52,26.052246031746034,24.150571428571425,22.85515476190476
2021-01-28,36.96,26.06457142857143,24.160661375661373,22.860591269841272
2021-01-29,36.57,26.076579365079365,24.170613756613758,22.86582142857143
2021-02-01,38.26,26.09,24.18147619047619,22.87156746031746
2021-02-02,38.79,26.103730158730162,24.19275661375661,22.87745238095238
2021-02-03,39.16,26.117722222222223,24.204280423280427,22.883511904761903
2021-02-04,40.81,26.133388888888888,24.216772486772484,22.89023015873016
2021-02-05,41.46,26.149587301587303,24.22943386243386,22.89723015873016
2021-02-08,42.0,26.166309523809527,24.242264550264547,22.904559523809525
2021-02-09,41.97,26.183373015873013,24.255137566137567,22.912095238095237
2021-02-10,41.81,26.2002380952381,24.26790476190476,22.919420634920638
2021-02-11,41.65,26.217055555555554,24.280857142857144,22.926591269841268
2021-02-12,41.58,26.233936507936505,24.293756613756617,22.93367857142857
2021-02-15,41.59,26.250714285714288,24.30678306878307,22.940853174603177
2021-02-16,41.78,26.267698412698415,24.319878306878305,22.948011904761906
2021-02-17,41.49,26.28465873015873,24.332857142857147,22.955059523809524
2021-02-18,41.26,26.301642857142856,24.34554497354497,22.96192857142857
2021-02-19,40.88,26.31815079365079,24.35777777777778,22.968674603174602
2021-02-22,40.05,26.33426984126984,24.36946560846561,22.975099206349206
2021-02-23,40.14,26.350531746031745,24.381264550264547,22.98150793650794
2021-02-24,40.88,26.36709523809524,24.393597883597884,22.988230158730158
2021-02-25,41.2,26.383888888888894,24.40599470899471,22.995083333333334
2021-02-26,39.65,26.39944444444444,24.41751851851852,23.001218253968254
2021-03-01,40.28,26.415658730158732,24.429460317460318,23.007539682539683
2021-03-02,40.71,26.431920634920637,24.441555555555556,23.01398015873016
2021-03-03,41.6,26.448888888888888,24.45418518518518,23.020738095238094
2021-03-04,41.15,26.465753968253967,24.466386243386243,23.027333333333335
2021-03-05,40.76,26.482507936507936,24.478264550264548,23.03388095238095
2021-03-08,40.74,26.499158730158733,24.490105820105818,23.040468253968257
2021-03-09,41.12,26.51592857142857,24.502269841269843,23.047436507936506
2021-03-10,41.33,26.533103174603173,24.51451851851852,23.05470634920635
2021-03-12,40.94,26.550150793650797,24.52648677248677,23.061833333333333
2021-03-15,40.66,26.56712698412698,24.538317460317458,23.06867857142857
2021-03-16,40.61,26.584555555555557,24.55015873015873,23.07569841269841
2021-03-17,40.1,26.601563492063487,24.56168253968254,23.082682539682537
2021-03-18,39.65,26.61769841269841,24.573121693121696,23.089488095238092
2021-03-19,40.16,26.63448412698413,24.585015873015873,23.09643253968254
2021-03-22,40.14,26.65111904761905,24.59695238095238,23.10342857142857
2021-03-23,40.35,26.667714285714286,24.60914285714286,23.11047619047619
2021-03-24,39.63,26.683690476190474,24.6210582010582,23.11730952380952
2021-03-25,39.02,26.699134920634922,24.632682539682538,23.123960317460316
2021-03-26,39.51,26.71523015873016,24.64457671957672,23.130924603174602
2021-03-30,40.43,26.732253968253975,24.65703703703704,23.138380952380952
2021-03-31,33.2,26.743642857142856,24.66564021164021,23.143130952380954
2021-04-01,39.98,26.76028571428572,24.6780582010582,23.15063888888889
2021-04-05,39.37,26.776531746031747,24.690232804232803,23.15804761904762
2021-04-06,39.48,26.792365079365084,24.702391534391534,23.16546031746032
2021-04-07,39.85,26.808174603174606,24.71469841269841,23.172876984126983
2021-04-08,40.0,26.823873015873016,24.72695238095238,23.18054761904762
2021-04-09,39.9,26.839476190476194,24.739084656084653,23.188170634920635
2021-04-12,38.48,26.853984126984123,24.75079365079365,23.19536507936508
2021-04-13,38.94,26.868753968253966,24.763132275132275,23.202833333333334
2021-04-15,39.01,26.883682539682543,24.775529100529102,23.210373015873017
2021-04-16,39.08,26.898611111111112,24.78811111111111,23.21780952380952
2021-04-19,38.22,26.912793650793645,24.800079365079366,23.224698412698412
2021-04-20,38.04,26.926999999999996,24.811851851851852,23.23147619047619
2021-04-22,38.34,26.94136507936508,24.823777777777778,23.238376984126983
2021-04-23,38.16,26.955555555555556,24.83590476190476,23.24511111111111
2021-04-26,38.54,26.96985714285714,24.8482380952381,23.252126984126985
2021-04-27,38.41,26.983841269841275,24.860312169312166,23.259
2021-04-28,38.94,26.998222222222218,24.87257142857143,23.26615873015873
2021-04-29,39.02,27.012658730158734,24.884751322751324,23.273380952380954
2021-04-30,38.33,27.02676984126984,24.896883597883598,23.280595238095238
2021-05-03,37.53,27.040285714285716,24.908433862433863,23.28742857142857
2021-05-04,36.26,27.052492063492064,24.919089947089947,23.293714285714284
2021-05-05,36.47,27.064857142857143,24.929724867724868,23.299797619047617
2021-05-06,36.68,27.077150793650794,24.940063492063494,23.305940476190475
2021-05-07,35.97,27.088785714285716,24.95,23.31179761904762
2021-05-10,36.21,27.10095238095238,24.960164021164026,23.317865079365077
2021-05-11,35.87,27.1128253968254,24.970148148148148,23.323710317460318
2021-05-12,35.5,27.12454761904762,24.97994708994709,23.329392857142857
2021-05-14,35.45,27.136214285714285,24.989708994708995,23.33511111111111
2021-05-17,35.94,27.148015873015872,24.99965079365079,23.341099206349206
2021-05-18,36.33,27.16004761904762,25.0094708994709,23.34711111111111
2021-05-19,35.68,27.171253968253975,25.01910582010582,23.352988095238096
2021-05-20,35.21,27.181992063492068,25.028677248677248,23.358587301587303
2021-05-21,35.08,27.19269841269841,25.038174603174603,23.36423015873016
2021-05-24,35.13,27.203444444444447,25.047730158730158,23.370003968253968
2021-05-25,34.81,27.213968253968254,25.05710052910053,23.375666666666667
2021-05-26,35.0,27.224761904761902,25.06656613756614,23.381329365079363
2021-05-27,35.08,27.23546031746032,25.07622751322751,23.386920634920635
2021-05-28,34.49,27.245642857142858,25.085507936507938,23.392214285714285
2021-05-31,34.77,27.256333333333338,25.094735449735452,23.397496031746034
2021-06-01,34.36,27.26674603174603,25.10375132275132,23.402563492063493
2021-06-02,34.37,27.27715873015873,25.112772486772485,23.407563492063492
2021-06-03,34.63,27.287912698412697,25.12189947089947,23.412587301587298
2021-06-04,34.58,27.298785714285714,25.130873015873014,23.417523809523807
2021-06-07,34.76,27.309738095238092,25.13992063492063,23.42254365079365
2021-06-08,34.74,27.320714285714285,25.148841269841274,23.42742857142857
2021-06-09,34.5,27.331238095238096,25.157603174603175,23.43221825396825
2021-06-10,34.72,27.34188888888889,25.166529100529104,23.437123015873016
2021-06-11,34.87,27.35274603174603,25.175650793650792,23.442095238095238
2021-06-14,34.89,27.36350793650794,25.184576719576718,23.44713888888889
2021-06-15,35.02,27.374555555555553,25.193544973544974,23.452321428571427
2021-06-16,34.8,27.385079365079367,25.20242857142857,23.45723015873016
2021-06-17,34.63,27.39540476190476,25.21131746031746,23.46223412698413
