Date,P/E,SMA_5_Years,sma_7_5_years,sma_10_years,1.5sd_5SMA_POS,2sd_5SMA_POS,3sd_5SMA_POS,1.5sd_5SMA_NEG,2sd_5SMA_NEG,3sd_5SMA_NEG,1.5sd_7_5_SMA_POS,2sd_7_5SMA_POS,3sd_7_5SMA_POS,1.5sd_7_5SMA_NEG,2sd_7_5SMA_NEG,3sd_7_5SMA_NEG,1.5sd_10_SMA_POS,2sd_10SMA_POS,3sd_10SMA_POS,1.5sd_10SMA_NEG,2sd_10SMA_NEG,3sd_10SMA_NEG,signals
2000-04-25,20.39,,,,,,,,,,,,,,,,,,,,,,
2000-04-26,21.54,,,,,,,,,,,,,,,,,,,,,,
2000-04-27,21.25,,,,,,,,,,,,,,,,,,,,,,
2000-04-28,21.1,,,,,,,,,,,,,,,,,,,,,,
2000-05-02,20.0,,,,,,,,,,,,,,,,,,,,,,
2000-05-03,19.74,,,,,,,,,,,,,,,,,,,,,,
2000-05-04,20.71,,,,,,,,,,,,,,,,,,,,,,
2000-05-05,21.33,,,,,,,,,,,,,,,,,,,,,,
2000-05-08,20.47,,,,,,,,,,,,,,,,,,,,,,
2000-05-09,20.68,,,,,,,,,,,,,,,,,,,,,,
2000-05-10,20.57,,,,,,,,,,,,,,,,,,,,,,
2000-05-11,19.68,,,,,,,,,,,,,,,,,,,,,,
2000-05-12,19.36,,,,,,,,,,,,,,,,,,,,,,
2000-05-15,19.54,,,,,,,,,,,,,,,,,,,,,,
2000-05-16,19.66,,,,,,,,,,,,,,,,,,,,,,
2000-05-17,19.88,,,,,,,,,,,,,,,,,,,,,,
2000-05-18,19.44,,,,,,,,,,,,,,,,,,,,,,
2000-05-19,19.05,,,,,,,,,,,,,,,,,,,,,,
2000-05-22,18.53,,,,,,,,,,,,,,,,,,,,,,
2000-05-23,18.4,,,,,,,,,,,,,,,,,,,,,,
2000-05-24,20.69,,,,,,,,,,,,,,,,,,,,,,
2000-05-25,20.89,,,,,,,,,,,,,,,,,,,,,,
2000-05-26,21.35,,,,,,,,,,,,,,,,,,,,,,
2000-05-29,21.95,,,,,,,,,,,,,,,,,,,,,,
2000-05-30,22.34,,,,,,,,,,,,,,,,,,,,,,
