date,nifty200,daily_return,volatility_21_days,volatility_252_days,volatility_ratio,Group,mean_Volatility
2020-05-26,4700.35,0.000681264,0.01940301132738886,0.01868553408570595,1.0383974703849523,563,1.0633928274016724
2020-05-27,4818.15,0.025061963,0.019818817524398086,0.018749031382582836,1.0570582085007891,563,1.0633928274016724
2020-05-28,4907.15,0.01847182,0.019958757850071587,0.018768941576218306,1.0633928274016724,563,1.0633928274016724
2020-05-29,4963.4,0.011462865,0.02001055988087133,0.018634953796489346,1.073818593778383,564,0.7923293953590386
2020-06-01,5087.35,0.024972801,0.020401263210877256,0.018695025814424553,1.0912669184514427,564,0.7923293953590386
2020-06-02,5159.9,0.014260863,0.019616320239248704,0.018717610405281023,1.0480141329212684,564,0.7923293953590386
2020-06-03,5198.7,0.007519526,0.015062387228844402,0.018721958598837414,0.8045305275795096,564,0.7923293953590386
2020-06-04,5188.1,-0.002038971,0.01480696092557197,0.018687885382394905,0.7923293953590386,564,0.7923293953590386
2020-06-05,5255.15,0.012923806,0.014916251739666684,0.018699850389114033,0.7976669026373633,565,0.8434506016821162
2020-06-08,5267.9,0.002426191,0.014657725641811215,0.018700599360335326,0.7838104736311715,565,0.8434506016821162
2020-06-09,5213.2,-0.010383644,0.015033761627327114,0.01870772530644622,0.8036124852734956,565,0.8434506016821162
2020-06-10,5247.45,0.006569861,0.015022413403121194,0.01870781378074168,0.8030020813327565,565,0.8434506016821162
2020-06-11,5144.75,-0.019571411,0.015811695369324832,0.018746439136792532,0.8434506016821162,565,0.8434506016821162
2020-06-12,5186.5,0.008115069,0.015428426492333332,0.018734644817892276,0.8235238320396988,566,0.6636242964976864
2020-06-15,5110.35,-0.014682348,0.014991232275240305,0.01875363011495403,0.799377623603997,566,0.6636242964976864
2020-06-16,5154.5,0.00863933,0.01498697289007031,0.018738100617187226,0.7998128090060391,566,0.6636242964976864
2020-06-17,5142.55,-0.002318363,0.0121538977748513,0.018737984854276486,0.6486235243208381,566,0.6636242964976864
2020-06-18,5235.45,0.018064968,0.012457985032180457,0.018772647562676888,0.6636242964976864,566,0.6636242964976864
2020-06-19,5309.0,0.014048458,0.0121741927759099,0.018792623725040595,0.6478176200424937,567,0.6453256602468215
2020-06-22,5357.45,0.009126012,0.012195519602160445,0.01879933606224067,0.6487207612962304,567,0.6453256602468215
2020-06-23,5442.05,0.015791095,0.01194656577802414,0.01882685469291613,0.6345492103106953,567,0.6453256602468215
2020-06-24,5360.5,-0.014985162,0.012824462600496703,0.018843156245974428,0.6805899411483396,567,0.6453256602468215
2020-06-25,5359.45,-0.000195877,0.012149009892965051,0.01882616892735731,0.6453256602468215,567,0.6453256602468215
2020-06-26,5399.25,0.007426135,0.01177696741655016,0.018832194847842567,0.6253635071059888,568,0.5782901897527637
2020-06-29,5356.15,-0.00798259,0.011975420116211387,0.018838228336974582,0.6356977897282796,568,0.5782901897527637
2020-06-30,5350.4,-0.001073532,0.010968652720058885,0.018819483310013464,0.582834955634658,568,0.5782901897527637
2020-07-01,5404.3,0.010074013,0.010779871683220237,0.018825417377559137,0.5726232500996444,568,0.5782901897527637
2020-07-02,5464.2,0.011083767,0.010894248304407748,0.018838722318746864,0.5782901897527637,568,0.5782901897527637
2020-07-03,5495.45,0.005719044,0.010866584528901392,0.01883618150359996,0.5768995444657706,569,0.5710476488915442
2020-07-06,5570.45,0.013647654,0.010901392947172838,0.018853225894560552,0.5782242788656162,569,0.5710476488915442
2020-07-07,5590.75,0.00364423,0.010902348411948018,0.018854703554078155,0.5782296380676804,569,0.5710476488915442
2020-07-08,5548.75,-0.007512409,0.01074437921255212,0.018858775749330852,0.5697283511594518,569,0.5710476488915442
2020-07-09,5592.8,0.007938725,0.010771048459863085,0.01886190842527883,0.5710476488915442,569,0.5710476488915442
2020-07-10,5569.0,-0.004255471,0.009616132059520584,0.018862042090040086,0.5098139434541018,570,0.5156743455307131
2020-07-13,5583.1,0.002531873,0.009568637577256301,0.018862550829594777,0.5072822686443551,570,0.5156743455307131
2020-07-14,5492.3,-0.016263366,0.009724287805898275,0.01888900074992145,0.5148121880369301,570,0.5156743455307131
2020-07-15,5488.85,-0.000628152,0.009688819233055665,0.018874103621711533,0.5133393048616244,570,0.5156743455307131
2020-07-16,5542.3,0.009737923,0.009712480949480141,0.018834524217962428,0.5156743455307131,570,0.5156743455307131
2020-07-17,5626.0,0.015102033,0.00951153071909731,0.01885882357803862,0.5043544036423157,571,0.42986963644893167
2020-07-20,5683.45,0.010211518,0.009333449850261712,0.018866303784794453,0.49471533781747595,571,0.42986963644893167
2020-07-21,5740.7,0.010073107,0.009365282248168799,0.018871362477956222,0.49626953322042616,571,0.42986963644893167
2020-07-22,5725.85,-0.002586793,0.008994684881019396,0.01887189082775293,0.476618106956821,571,0.42986963644893167
2020-07-23,5770.25,0.007754307,0.008114983174990336,0.0188777770908097,0.42986963644893167,571,0.42986963644893167
2020-07-24,5751.95,-0.00317144,0.008209001611233368,0.01887376293042583,0.43494249882729435,572,0.46244210533973823
2020-07-27,5713.7,-0.006649919,0.008435653075962168,0.018878131183259827,0.44684788944800213,572,0.46244210533973823
2020-07-28,5790.55,0.013450129,0.008370664191470164,0.01888834335908458,0.4431656091980238,572,0.46244210533973823
2020-07-29,5758.15,-0.005595323,0.008557127430998613,0.01886381714607004,0.453626504367455,572,0.46244210533973823
2020-07-30,5716.85,-0.007172443,0.008724480317843291,0.018866102842070912,0.46244210533973823,572,0.46244210533973823
2020-07-31,5715.65,-0.000209906,0.008528844003474213,0.018865585680389877,0.4520847721329771,573,0.48815968397307463
2020-08-03,5639.55,-0.013314321,0.009124404744753997,0.018878411364414087,0.4833248184194965,573,0.48815968397307463
2020-08-04,5731.9,0.01637542,0.009326554076878261,0.018906318775839395,0.49330354509820146,573,0.48815968397307463
2020-08-05,5737.2,0.00092465,0.009312746321013502,0.018904820115706666,0.4926122684064159,573,0.48815968397307463
2020-08-06,5788.45,0.008932929,0.009228072023039775,0.018903797929262767,0.48815968397307463,573,0.48815968397307463
2020-08-07,5803.45,0.002591367,0.009130908024908195,0.01889149498459651,0.4833343275560368,574,0.4262974664081858
2020-08-10,5844.25,0.007030301,0.009088593945261885,0.018894188115916588,0.48102590540027457,574,0.4262974664081858
2020-08-11,5859.5,0.002609402,0.009088691855604425,0.018878067221113473,0.4814418631500324,574,0.4262974664081858
2020-08-12,5854.05,-0.000930113,0.008079014354895286,0.01887813158702923,0.42795624755821743,574,0.4262974664081858
2020-08-13,5864.4,0.001768007,0.008040958116382784,0.018862317395720703,0.4262974664081858,574,0.4262974664081858
2020-08-14,5803.6,-0.010367642,0.008410445866895662,0.018865741174537824,0.4458052185220707,575,0.4215306999008745
2020-08-17,5836.15,0.005608588,0.007925091955207629,0.018861524256417465,0.42017240215944834,575,0.4215306999008745
2020-08-18,5907.5,0.012225525,0.008043557153504959,0.018854057598156865,0.4266220738760913,575,0.4215306999008745
2020-08-19,5921.8,0.002420652,0.007823858315819445,0.018849413329067494,0.41507171492464173,575,0.4215306999008745
2020-08-20,5888.25,-0.005665507,0.007932537855292732,0.018818410751952626,0.4215306999008745,575,0.4215306999008745
2020-08-21,5917.35,0.004942046,0.007842464722865101,0.018811322734547806,0.41690129043727886,576,0.3752001892640761
2020-08-24,5959.95,0.007199169,0.00787797313633471,0.018815998467123,0.41868483089535813,576,0.3752001892640761
2020-08-25,5965.2,0.00088088,0.007645780393999999,0.018816017818688396,0.4063442364731435,576,0.3752001892640761
2020-08-26,6000.0,0.005833836,0.007249915850872828,0.01881678107925932,0.3852899079994082,576,0.3752001892640761
